Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Chassis,-0.043917,-0.52949,-0.0017265,0,0,0,25.478,3.1305,-0.040722,-1.4486E-06,0.22262,-7.6694E-05,3.184,0,0,0,0,0,0,package://GazeboV0/meshes/Chassis.STL,0.12549,0.38823,0.60784,1,0,0,0,0,0,0,package://GazeboV0/meshes/Chassis.STL,,SinglePartChassis-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RightWheel,1.3878E-16,6.9389E-18,0.0051,0,0,0,0.33861,0.00034758,-1.4714E-23,9.685E-18,0.00034758,4.2157E-19,0.00068952,0,0,0,0,0,0,package://GazeboV0/meshes/RightWheel.STL,0.92941,0.33333,0.23137,1,0,0,0,0,0,0,package://GazeboV0/meshes/RightWheel.STL,,CustomRobotWheel-1,Origin_RightRevolute,Axis_RightRevolute,RightRevolute,continuous,-0.046488,0.13117,-0.19103,3.1416,0,1.5708,Chassis,0,0,1,,,,,,,0,0,,,,
LeftWheel,-8.3267E-17,0,-0.0051,0,0,0,0.33861,0.00034758,0,5.1865E-18,0.00034758,2.0943E-18,0.00068952,0,0,0,0,0,0,package://GazeboV0/meshes/LeftWheel.STL,0.92941,0.33333,0.23137,1,0,0,0,0,0,0,package://GazeboV0/meshes/LeftWheel.STL,,CustomRobotWheel-2,Origin_LeftRevolute,Axis_LeftRevolute,LeftRevolute,continuous,-0.046488,0.13117,0.18817,-3.1416,0,0.4158,Chassis,0,0,1,,,,,,,0,0,,,,
FrontCastor,0.0030314,0.034563,-2.7756E-17,0,0,0,0.067153,4.4926E-05,-6.705E-06,5.639E-21,9.6191E-06,1.5764E-20,4.9799E-05,0,0,0,0,0,0,package://GazeboV0/meshes/FrontCastor.STL,0.23529,0.68235,0.63921,1,0,0,0,0,0,0,package://GazeboV0/meshes/FrontCastor.STL,,CustomCastor-1,Origin_FrontCastorRevolute,Axis_FrontCastorRevolute,FrontCastorRevolute,continuous,0.17263668098028,0.106171705400847,-0.00173226325399095,3.14159265358979,-1.54598030035848,3.14159265358979,Chassis,0,1,0,,,,,,,0,0,,,,
FrontCastorWheel,1.3878E-17,2.7756E-17,-6.9389E-16,0,0,0,0.031765,3.915E-06,4.2352E-22,4.8231E-21,3.915E-06,-3.9054E-21,7.4011E-06,0,0,0,0,0,0,package://GazeboV0/meshes/FrontCastorWheel.STL,0.09019,0.24705,0.37254,1,0,0,0,0,0,0,package://GazeboV0/meshes/FrontCastorWheel.STL,,CustomCastorWheel-1,Origin_FrontCastorWheelRevolute,Axis_FrontCastorWheelRevolute,FrontCastorWheelRevolute,continuous,0.0320000000000025,0.0674999999999988,0,0,0,-2.72865613261179,FrontCastor,0,0,1,,,,,,,0,0,,,,
RearCastor,0.0030314,0.034563,2.7756E-17,0,0,0,0.067153,4.4926E-05,-6.705E-06,2.8327E-21,9.6191E-06,-5.914E-21,4.9799E-05,0,0,0,0,0,0,package://GazeboV0/meshes/RearCastor.STL,0.23529,0.68235,0.63921,1,0,0,0,0,0,0,package://GazeboV0/meshes/RearCastor.STL,,CustomCastor-2,Origin_RearCastorRevolute,Axis_RearCastorRevolute,RearCastorRevolute,continuous,-0.265612518275258,0.106171705400852,-0.00173226325399275,3.14159265358978,0.863215800991521,-3.14159265358979,Chassis,0,1,0,,,,,,,0,0,,,,
RearCastorWheel,0,-2.7756E-17,-1.3878E-16,0,0,0,0.031765,3.915E-06,1.0588E-22,2.5401E-21,3.915E-06,7.4701E-22,7.4011E-06,0,0,0,0,0,0,package://GazeboV0/meshes/RearCastorWheel.STL,0.09019,0.24705,0.37254,1,0,0,0,0,0,0,package://GazeboV0/meshes/RearCastorWheel.STL,,CustomCastorWheel-2,Origin_RearCastorWheelRevolute,Axis_RearCastorWheelRevolute,RearCastorWheelRevolute,continuous,0.032,0.0675,0,0,0,1.2997,RearCastor,0,0,1,,,,,,,0,0,,,,
